year,month,pr
2000,2000,17.43297193
2000,2000,52.38792315
2000,2000,17.72012329
2000,2000,15.90044021
2000,2000,42.37740792
2000,2000,7.703209088
2000,2000,1.368962579
2000,2000,36.52948994
2000,2000,5.523939253
2000,2000,48.44743839
2000,2000,7.246777916
2000,2000,2.551234815
2001,2001,11.71286184
2001,2001,22.55930964
2001,2001,25.45909951
2001,2001,28.22226006
2001,2001,1.146742491
2001,2001,0.075634559
2001,2001,21.09805483
2001,2001,10.79496174
2001,2001,7.974435066
2001,2001,8.246259216
2001,2001,28.40396476
2001,2001,16.7873496
2002,2002,6.680903101
2002,2002,22.40454097
2002,2002,6.882847913
2002,2002,34.60926387
2002,2002,13.13738563
2002,2002,5.164735221
2002,2002,12.19191991
2002,2002,2.591358653
2002,2002,15.39413041
2002,2002,6.741240853
2002,2002,21.85692119
2002,2002,6.283870568
2003,2003,8.460097729
2003,2003,12.78227291
2003,2003,11.70685846
2003,2003,40.08038789
2003,2003,26.54621615
2003,2003,2.499873498
2003,2003,9.570437774
2003,2003,32.35612738
2003,2003,9.890577956
2003,2003,1.015029305
2003,2003,13.63408448
2003,2003,38.45971112
2004,2004,1.466022092
2004,2004,21.16691247
2004,2004,3.165556098
2004,2004,25.1784218
2004,2004,15.30488488
2004,2004,4.591593837
2004,2004,23.57047349
2004,2004,29.19822902
2004,2004,25.02926201
2004,2004,60.91423812
2004,2004,30.44349077
2004,2004,12.30515011
2005,2005,44.40967109
2005,2005,27.19692072
2005,2005,18.05764336
2005,2005,50.84871766
2005,2005,81.21397107
2005,2005,7.000424467
2005,2005,8.482456911
2005,2005,15.59554854
2005,2005,12.21764522
2005,2005,19.25060192
2005,2005,24.37516559
2005,2005,13.19068989
2006,2006,28.88823727
2006,2006,21.81050723
2006,2006,33.78983508
2006,2006,33.72091465
2006,2006,9.887822658
2006,2006,11.69475217
2006,2006,21.68299333
2006,2006,2.462895255
2006,2006,4.946204605
2006,2006,24.64521158
2006,2006,14.52843345
2006,2006,9.814313802
2007,2007,6.566415336
2007,2007,24.47142982
2007,2007,18.7210764
2007,2007,18.210451
2007,2007,12.88096545
2007,2007,10.79693998
2007,2007,9.222055829
2007,2007,28.22407246
2007,2007,20.53246853
2007,2007,11.55665611
2007,2007,5.813091415
2007,2007,25.39742585
2008,2008,24.94593628
2008,2008,15.49345882
2008,2008,5.387428236
2008,2008,3.415902645
2008,2008,12.74477643
2008,2008,3.632065628
2008,2008,15.98386216
2008,2008,7.233971113
2008,2008,8.81646477
2008,2008,8.997054789
2008,2008,16.29571272
2008,2008,16.5972589
2009,2009,26.2147305
2009,2009,21.25078083
2009,2009,14.80462926
2009,2009,59.26817432
2009,2009,24.882261
2009,2009,67.66676008
2009,2009,13.59419265
2009,2009,17.97361194
2009,2009,5.872289014
2009,2009,19.82896035
2009,2009,1.315007949
2009,2009,23.53421034
2010,2010,6.049978717
2010,2010,11.93388993
2010,2010,36.53515741
2010,2010,14.98025399
2010,2010,23.24719606
2010,2010,0.441576298
2010,2010,15.63027333
