dri_id,all_app,sub_app,dri_field_id
dri_pou_group_id_1,18242_72370,18242_72370,132_8
dri_pou_group_id_2,18786_18787_86252_86253,18786_18787_86252_86253,23_10
dri_pou_group_id_3,18788_18789,18788_18789,127
dri_pou_group_id_4,18794_31111,18794_31111,47
dri_pou_group_id_5,18834_19052,18834_19052,149_30
dri_pou_group_id_6,18835_19053,18835_19053,151_32
dri_pou_group_id_7,18927_18928,18927_18928,66_81
dri_pou_group_id_8,18975_34950,18975_34950,173_122
dri_pou_group_id_9,18978_42019_42020,18978_42019_42020,35_229
dri_pou_group_id_10,18981_39553,18981_39553,46_229
dri_pou_group_id_11,18988_80780,18988_80780,44_137
dri_pou_group_id_12,18989_80781,80781,1
dri_pou_group_id_13,18999_42021,18999_42021,48
dri_pou_group_id_14,19014_83615_83616_83617,19014_83615_83616_83617,223_37_69
dri_pou_group_id_15,19145_29873_30102_36070_50650_81268,19145_29873_30102_36070_50650_81268,14_20_15_21
dri_pou_group_id_16,19191_24214,19191_24214,67_61
dri_pou_group_id_17,19192_29765,19192_29765,57_56
dri_pou_group_id_18,19378_20000_24605,19378_20000_24605,146_154
dri_pou_group_id_19,19492_20015,19492_20015,9_131
dri_pou_group_id_20,19563_19971_28160,19563_19971_28160,74_75
dri_pou_group_id_21,19760_28061,19760_28061,27_29
dri_pou_group_id_22,19904_24609_78905,19904_24609_78905,103_100
dri_pou_group_id_23,19965_78447,19965_78447,28
dri_pou_group_id_24,19966_80581,19966_80581,22
dri_pou_group_id_25,19972_19973_34948_46348,19972_19973_34948_46348,90_71
dri_pou_group_id_26,20087_24607,20087_24607,184_188
dri_pou_group_id_27,20088_24606,20088_24606,179_182
dri_pou_group_id_28,20694_21399,20694_21399,45
dri_pou_group_id_29,21085_23462_23803,21085_23462_23803,160_53
dri_pou_group_id_30,22648_22921,22648_22921,228_39
dri_pou_group_id_31,22922_36321_36322,22922_36321_36322,31
dri_pou_group_id_32,23272_28641,23272_28641,68_185
dri_pou_group_id_33,24127_24128,24127_24128,165_166
dri_pou_group_id_34,24129_24130,24129_24130,161_191
dri_pou_group_id_35,24262_24263_24264_24265,24262_24263_24264_24265,6_148_187_190
dri_pou_group_id_36,28035_28036,28035_28036,55
dri_pou_group_id_37,29278_70249,29278_70249,181_180
dri_pou_group_id_38,30927_30928,30927_30928,178
dri_pou_group_id_39,31455_81004,31455_81004,143
dri_pou_group_id_40,33668_33669,33668_33669,4
dri_pou_group_id_41,33670_33671,33670_33671,3
dri_pou_group_id_42,34596_48225_48226,34596_48225_48226,58_59
dri_pou_group_id_43,34939_48437,34939_48437,16
dri_pou_group_id_44,39156_55535,39156_55535,92_17
dri_pou_group_id_45,39552_39554,39552_39554,230
dri_pou_group_id_46,40010_40013,40010_40013,150
dri_pou_group_id_47,40011_40014,40011_40014,183
dri_pou_group_id_48,42367_42368_42369_42370_56652,42367_42368_42369_42370_56652,171
dri_pou_group_id_49,43268_43270_43836,43268_43270_43836,134_133
dri_pou_group_id_50,43269_43837_43838_43839_43840,43269_43837_43838_43839_43840,186
dri_pou_group_id_51,43271_43272_43273_43274,43271_43272_43273_43274,129_43_63_42
dri_pou_group_id_52,44451_44452,44451_44452,217_216
dri_pou_group_id_53,44604_44605_44606_44607_44609_44610,44604_44605_44606_44607_44609_44610,135
dri_pou_group_id_54,48871_48872_70587_70588,48871_48872_70587_70588,144_112
dri_pou_group_id_55,48948_55727,48948_55727,60
dri_pou_group_id_56,50581_50582,50581_50582,109_139
dri_pou_group_id_57,77569_81269,77569_81269,194
dri_pou_group_id_58,77646_77695_77696_80718,77646_77695_77696_80718,110
dri_pou_group_id_59,77666_83567,77666_83567,213
dri_pou_group_id_60,78771_78772_78773_78774_78775,78771_78772_78773_78774_78775,83_82
dri_pou_group_id_61,80717_80879_80880_80881_80926,80717_80879_80880_80881_80926,111_0
dri_pou_group_id_62,85131_85132_85133_85134,85131_85132_85133_85134,38_198_136
dri_pou_group_id_63,86032_86033_86035_86037,86032_86033_86035_86037,78
dri_pou_group_id_64,19541_19542,19541_19542,41_40
dri_pou_group_id_65,42891_64630_64631_64632_64633,64630_64631_64632_64633,104
dri_pou_group_id_66,24574_29405,24574_29405,13_62
dri_pou_group_id_67,34561_34562,34561_34562,99_97
dri_pou_group_id_68,22352_70940,22352_70940,96
dri_pou_group_id_69,18796,18796,232
dri_pou_group_id_70,18797,18797,52
dri_pou_group_id_71,18802,18802,125
dri_pou_group_id_72,18851,18851,11
dri_pou_group_id_73,19292,19292,114
dri_pou_group_id_74,19293,19293,231
dri_pou_group_id_75,19324,19324,174
dri_pou_group_id_76,19360,19360,175
dri_pou_group_id_77,19361,19361,19
dri_pou_group_id_78,19379,19379,72
dri_pou_group_id_79,19381,19381,113
dri_pou_group_id_80,19526,19526,44_238
dri_pou_group_id_81,20046,20046,169
dri_pou_group_id_82,20366,20366,18
dri_pou_group_id_83,20487,20487,195
dri_pou_group_id_84,21426,21426,79
dri_pou_group_id_85,21428,21428,25
dri_pou_group_id_86,21841,21841,119
dri_pou_group_id_87,21843,21843,80
dri_pou_group_id_88,21844,21844,50
dri_pou_group_id_89,21929,21929,34
dri_pou_group_id_90,21930,21930,141
dri_pou_group_id_91,22194,22194,197
dri_pou_group_id_92,22195,22195,70
dri_pou_group_id_93,22316,22316,120
dri_pou_group_id_94,22353,22353,102
dri_pou_group_id_95,22566,22566,158
dri_pou_group_id_96,22567,22567,76
dri_pou_group_id_97,22982,22982,193_192
dri_pou_group_id_98,24272,24272,36
dri_pou_group_id_99,26437,26437,85
dri_pou_group_id_100,27976,27976,147
dri_pou_group_id_101,28561,28561,145
dri_pou_group_id_102,29557,29557,177
dri_pou_group_id_103,29895,29895,164
dri_pou_group_id_104,30913,30913,168
dri_pou_group_id_105,31062,31062,77
dri_pou_group_id_106,31063,31063,73
