dri_field_id,all_app,year,area_m2,annual_precip_eff_mm,annual_net_et_mm,pumping_mm,pumping_net_et_factor_annual
132_8,18242_72370,2018,888724.9486979557,208.1454084417862,309.12027889209946,510.9068698095789,1.7
23_10,18786_18787_86252_86253,2018,996460.3133552922,185.8824971356947,592.5413435676054,989.47030079942,1.7
127,18788_18789,2018,460230.1209712059,175.86877447151863,482.1546307737534,540.9889525237464,1.1
47,18794_31111,2018,496100.9481887039,175.8687744715186,398.3295217871351,269.1494164985003,0.7
149_30,18834_19052,2018,974741.6237351613,208.95312632269054,345.9369384191154,431.1574843825244,1.2
173_122,18975_34950,2018,981944.019085176,210.77031533577187,523.2749942208386,726.9388740776807,1.4
35_229,18978_42019_42020,2018,954900.5352446184,171.68836793205216,641.6370444535343,473.24765111070263,0.7
46_229,18981_39553,2018,971151.3766229099,171.15593291642955,725.3478240245554,292.12788740159357,0.4
44_137,18988_80780,2018,1004986.2021841861,208.80589971955857,649.4845710185808,406.79549903111547,0.6
1,18989_80781,2018,481071.53314006777,210.77031533577187,590.2940981741443,920.1575621733157,1.6
48,18999_42021,2018,502448.0874323465,175.8687744715186,52.70086332885342,93.97817890275107,1.8
223_37_69,19014_83615_83616_83617,2018,1564039.7858082457,202.0900810075528,537.7354315077486,739.2093040401846,1.4
14_20_15_21,19145_29873_30102_36070_50650_81268,2018,1998714.4685218863,217.35082883868714,515.1795364858918,1063.0442740511799,2.1
67_61,19191_24214,2018,923158.9681518418,201.43731294302836,537.0179107435796,555.0549251582454,1.0
57_56,19192_29765,2018,964236.8648114968,226.9914611480429,602.3652943826437,1099.594495305883,1.8
146_154,19378_20000_24605,2018,985431.7608195613,185.1111645232944,542.8215151847905,662.3183859978599,1.2
9_131,19492_20015,2018,1051985.8589295223,185.08515156572892,646.3280057397288,500.219719499041,0.8
74_75,19563_19971_28160,2018,1035844.5513957406,196.67059982298895,605.9787963301995,1003.0310132592974,1.7
27_29,19760_28061,2018,1001830.770902378,208.48100412269275,516.643734064365,691.2163002442549,1.3
103_100,19904_24609_78905,2018,916970.9172217225,178.5932509487528,559.0046196946099,743.4038650043686,1.3
28,19965_78447,2018,521585.1496169952,195.90588118810746,366.5432266135616,970.9182908828336,2.6
