WUR_Report_ID,fid,year,method,area_m2,annual_precip_eff_mm,annual_net_et_mm,pumping_mm,pumping_net_et_factor_annual
10823,15,2016,VLM,241159.8164319988,212.86095856358324,656.6146771530479,368.878111271428,0.6
37683,1551_1552,2016,ECF,482002.25404434174,180.4205775883978,582.1425859085921,1074.8115712179658,1.8
37976,1087,2016,FMT,253510.1103784973,261.8468646519147,461.9562108448801,918.3342425768069,2.0
47099,533_1102,2016,FMT,498272.54217158444,182.1866728565477,710.648986847502,709.4819362497883,1.0
49257,1075_1431,2016,OTH,1040978.2738069422,195.88379012418838,534.2084693761724,862.6245740134789,1.6
60733,1422,2016,FMT,475512.896158595,195.757719153774,640.5850931075039,755.5022227623899,1.2
61755,1539_1549_1550,2016,FMT,1238995.5577194756,179.86286234986756,645.7123854219616,700.8859589443464,1.1
62470,999,2016,FMT,486539.6996350296,196.87314938151664,632.0672824913532,619.8586882555115,1.0
62560,1254,2016,VLM,535213.185549038,198.91810231048467,670.9198824492488,226.61640571425568,0.3
62841,1446_1448,2016,VLM,634264.4200204385,199.0613334408007,630.1800977948833,1058.8142181747473,1.7
63073,1101,2016,FMT,527843.5443312153,186.05848217884466,675.8031113060883,762.0398739737182,1.1
63211,1310,2016,PWR,496627.540133544,203.13256963048497,633.8724535593949,884.201629015419,1.4
63219,1312_1313,2016,FMT,303341.5811177322,204.12343462869558,598.1174458893055,778.6977938521464,1.3
63735,1360,2016,FMT,487480.6178936727,218.43810219506304,560.7526651142645,664.3344619511353,1.2
63743,1210_1211,2016,FMT,623286.885820329,192.6868225944123,549.3258449393089,700.5435139635963,1.3
63755,1556_1558,2016,VLM,659361.8917279228,233.40343549438688,377.2908897543455,1357.6547059067632,3.6
63819,1483,2016,FMT,406944.8801565224,210.55928843226292,519.7676654363903,744.1286394450453,1.4
65207,1451,2016,FMT,514489.87225052726,199.1698821575912,474.440921946393,614.6903063740064,1.3
65302,1605_1606,2016,FMT,293032.0695670853,216.2072442881588,527.5829335986127,1229.1356387446292,2.3
65399,1508_1509,2016,FMT,1293758.6017626114,259.2712765291985,518.0748333128511,808.9000799486267,1.6
65456,1460,2016,FMT,533087.5597067176,196.87314938151664,585.2323314523773,731.4052277162655,1.2
65648,1557,2016,VLM,525051.6805308663,233.40343549438694,284.52027684058874,655.9353365973157,2.3
65733,1335,2016,ECF,506448.7431986319,202.72914851306086,645.8038448247738,905.0494727365299,1.4
66119,1692,2016,FMT,476131.8182009672,199.5687671292762,602.3103011626459,518.7989866615854,0.9
66236,1439,2016,VLM,306897.0254731336,196.87314938151664,573.1044618112179,1776.1641083345046,3.1
66263,1452,2016,PWR,512318.832772656,198.91810231048467,616.9580669077346,1124.3203520015973,1.8
67431,1329,2016,FMT,394752.3713623936,215.18476840541612,450.62858465089073,728.0534858045428,1.6
10823,15,2017,VLM,241159.8164319988,229.9708582557518,606.9152264076179,386.1149281736009,0.6
37683,1551_1552,2017,ECF,482002.25404434174,184.97468743675765,542.1649683176696,1054.338969861433,1.9
37976,1087,2017,FMT,253510.1103784973,269.8049407549709,443.5962644528162,918.3342425768069,2.1
47099,533_1102,2017,FMT,498272.54217158444,176.80138849435053,665.4397223208363,705.5211159497196,1.1
49257,1075_1431,2017,OTH,1040978.2738069422,244.3722745008619,520.6326413355866,847.2205637632381,1.6
60733,1422,2017,FMT,475512.896158595,244.08055340193891,577.0661655548406,715.9437372786939,1.2
61755,1539_1549_1550,2017,FMT,1238995.5577194756,183.42606228437955,587.5637347144185,627.4344006776582,1.1
62470,999,2017,FMT,486539.6996350296,246.6615958952037,562.034618766991,611.4924973710813,1.1
62560,1254,2017,VLM,535213.185549038,244.59676262364977,574.2077433608612,445.35090247353577,0.8
62841,1446_1448,2017,0,634264.4200204385,247.86413938451506,516.032459217881,0.0,0.0
63073,1101,2017,FMT,527843.5443312153,184.7463344034617,627.5677952695775,772.5556036053702,1.2
63211,1310,2017,FMT,496627.540133544,238.587721218975,521.7368549172774,644.4737042048341,1.2
63219,1312_1313,2017,FMT,303341.5811177322,239.60674689907066,476.1303545161512,469.12984060951504,1.0
63735,1360,2017,FMT,487480.6178936727,249.7588478665828,456.6371964654454,687.7398848155344,1.5
63743,1210_1211,2017,FMT,623286.885820329,190.71646424999506,540.6111341272676,653.0674866747273,1.2
63755,1556_1558,2017,VLM,659361.8917279228,252.33988820605813,297.59339599702383,692.1094490372932,2.3
63819,1483,2017,FMT,406944.8801565224,255.43015373856943,519.2436551548583,738.7939494025879,1.4
65207,1451,2017,FMT,514489.87225052726,245.59884423676715,488.6855445754385,807.8074489241301,1.7
65302,1605_1606,2017,FMT,293032.0695670853,233.49827981799825,483.6594407633696,905.7298472215131,1.9
65399,1508_1509,2017,FMT,1293758.6017626114,302.7011715921399,425.5848319882401,846.8457244708093,2.0
65456,1460,2017,FMT,533087.5597067176,246.6615958952037,455.6773175450889,637.9260401182358,1.4
65648,1557,2017,VLM,525051.6805308663,252.33988820605808,363.8361475059648,367.4233968834217,1.0
65733,1335,2017,ECF,506448.7431986319,242.7900329116969,505.2194614289901,910.6512321210669,1.8
66119,1692,2017,FMT,476131.8182009672,212.5058040658565,492.16480744822263,723.5880603437902,1.5
66236,1439,2017,0,306897.0254731336,246.6615958952037,402.26492674403795,0.0,0.0
66263,1452,2017,PWR,512318.832772656,244.59676262364977,538.4138272779082,856.7350937004762,1.6
67431,1329,2017,FMT,394752.3713623936,255.1790354896607,522.7881696830981,693.6818620111952,1.3
10823,15,2018,VLM,241159.8164319988,191.12093224498778,668.1638772783178,444.2188569595607,0.7
