Features,F_IMP
annual_net_et_eemetric_mm,0.57376
annual_tmmx_K,0.08193
annual_et_eemetric_mm,0.04849
annual_ndvi,0.0416
annual_rmin,0.03983
soil_depth_mm,0.02511
elevation_m,0.02285
annual_tmmn_K,0.02109
annual_vs_mps,0.01992
annual_rmax,0.01934
annual_gridmet_precip_mm,0.01777
annual_daymet_precip_eff_mm,0.01579
ksat_mean_micromps,0.01446
annual_gridmet_precip_eff_mm,0.01352
eff_factor,0.00965
annual_etr_mm,0.0089
annual_vpd_kPa,0.0082
annual_eto_mm,0.00666
HSG_5,0.00533
HSG_1,0.0039
HSG_3,0.00191
annual_daymet_precip_mm,0.0
