Features,F_IMP
annual_net_et_ensemble_mm,0.5771
annual_tmmx_K,0.07751
annual_et_ensemble_mm,0.05407
annual_rmin,0.04311
annual_ndvi,0.04306
soil_depth_mm,0.0247
elevation_m,0.0219
annual_tmmn_K,0.01956
annual_rmax,0.01908
annual_daymet_precip_eff_mm,0.01857
annual_gridmet_precip_mm,0.01649
annual_gridmet_precip_eff_mm,0.01529
annual_vs_mps,0.01493
ksat_mean_micromps,0.01264
annual_etr_mm,0.00794
annual_vpd_kPa,0.00745
eff_factor,0.00729
annual_eto_mm,0.00718
HSG_5,0.00613
HSG_1,0.00462
HSG_3,0.00137
annual_daymet_precip_mm,0.0
