Features,F_IMP
annual_net_et_ensemble_mm,0.4725
annual_tmmx_K,0.05577
annual_et_ssebop_mm,0.03885
annual_rmin,0.03705
annual_ndvi,0.03413
annual_et_eemetric_mm,0.03101
annual_et_ensemble_mm,0.03098
annual_et_geesebal_mm,0.02841
soil_depth_mm,0.02666
annual_et_disalexi_mm,0.02352
elevation_m,0.02258
annual_tmmn_K,0.02186
annual_rmax,0.01995
annual_vs_mps,0.01887
annual_daymet_precip_eff_mm,0.01802
annual_et_pt_jpl_mm,0.01743
ksat_mean_micromps,0.01733
annual_et_sims_mm,0.01613
annual_gridmet_precip_mm,0.016
annual_gridmet_precip_eff_mm,0.01512
annual_etr_mm,0.00717
annual_vpd_kPa,0.007
annual_eto_mm,0.00596
HSG_5,0.00561
eff_factor,0.00545
HSG_1,0.00494
HSG_3,0.0017
annual_daymet_precip_mm,0.0
