Features,F_IMP
annual_net_et_geesebal_mm,0.16303
annual_daymet_precip_eff_mm,0.04871
annual_et_ssebop_mm,0.04851
annual_gridmet_precip_mm,0.04833
annual_et_eemetric_mm,0.04522
annual_gridmet_precip_eff_mm,0.04507
annual_et_ensemble_mm,0.04241
annual_et_geesebal_mm,0.03985
annual_et_ssebop_m3,0.03804
annual_et_eemetric_m3,0.03761
annual_et_disalexi_mm,0.03281
annual_et_disalexi_m3,0.03037
annual_et_geesebal_m3,0.02961
annual_et_sims_mm,0.021
annual_tmmx_K,0.02081
annual_et_pt_jpl_mm,0.02032
annual_rmin,0.01984
eff_factor,0.01832
ksat_mean_micromps,0.0177
annual_ndvi,0.01755
annual_et_sims_m3,0.01748
annual_rmax,0.0172
annual_etr_mm,0.01678
soil_depth_mm,0.01643
annual_et_pt_jpl_m3,0.0164
annual_tmmn_K,0.016
annual_eto_mm,0.01547
annual_vpd_kPa,0.01493
HSG_6.0,0.01484
elevation_m,0.01479
HSG_4.0,0.01473
annual_vs_mps,0.01412
HSG_5.0,0.00845
HSG_2.0,0.00754
HSG_1.0,0.00557
HSG_7.0,0.00237
HSG_10.0,0.00095
HSG_8.0,0.0006
HSG_3.0,0.00024
annual_daymet_precip_mm,0.0
HSG_12.0,0.0
