Features,F_IMP
annual_net_et_pt_jpl_mm,0.46553
annual_et_ssebop_mm,0.03834
annual_gridmet_precip_mm,0.0322
annual_gridmet_precip_eff_mm,0.02952
annual_et_ensemble_mm,0.02898
annual_et_eemetric_mm,0.02883
annual_daymet_precip_eff_mm,0.02594
HSG_4.0,0.02446
annual_et_disalexi_mm,0.02431
annual_et_ssebop_m3,0.02328
annual_et_geesebal_mm,0.02328
annual_et_eemetric_m3,0.02257
annual_et_sims_mm,0.0213
annual_et_disalexi_m3,0.02034
annual_et_pt_jpl_mm,0.01807
annual_et_geesebal_m3,0.01605
annual_et_sims_m3,0.01504
annual_ndvi,0.01344
ksat_mean_micromps,0.0118
soil_depth_mm,0.01058
annual_et_pt_jpl_m3,0.01051
annual_rmax,0.00987
annual_rmin,0.00944
HSG_2.0,0.00865
HSG_1.0,0.00816
elevation_m,0.00751
annual_vpd_kPa,0.00725
annual_vs_mps,0.00676
annual_etr_mm,0.00623
annual_eto_mm,0.00589
HSG_6.0,0.00589
annual_tmmn_K,0.00557
eff_factor,0.00504
annual_tmmx_K,0.0044
HSG_5.0,0.00406
HSG_7.0,0.00071
HSG_8.0,0.00015
HSG_10.0,5e-05
HSG_3.0,0.0
annual_daymet_precip_mm,0.0
