Features,F_IMP
annual_net_et_sims_mm,0.38821
annual_tmmx_K,0.10576
annual_rmin,0.07257
annual_ndvi,0.06985
elevation_m,0.04847
annual_et_sims_mm,0.04466
soil_depth_mm,0.04098
annual_rmax,0.03278
annual_tmmn_K,0.02936
ksat_mean_micromps,0.02529
annual_vs_mps,0.02466
annual_daymet_precip_eff_mm,0.02162
annual_gridmet_precip_mm,0.02071
annual_gridmet_precip_eff_mm,0.01922
annual_vpd_kPa,0.01222
annual_etr_mm,0.01054
eff_factor,0.01001
annual_eto_mm,0.01
HSG_5,0.00598
HSG_1,0.0057
HSG_3,0.0014
annual_daymet_precip_mm,0.0
