Features,F_IMP
annual_net_et_ssebop_mm,0.49794
annual_tmmx_K,0.08696
annual_et_ssebop_mm,0.07194
annual_rmin,0.04863
annual_ndvi,0.03983
soil_depth_mm,0.0307
annual_tmmn_K,0.02728
elevation_m,0.02543
annual_gridmet_precip_mm,0.02211
annual_daymet_precip_eff_mm,0.02165
annual_rmax,0.0209
annual_gridmet_precip_eff_mm,0.02023
annual_vs_mps,0.01721
ksat_mean_micromps,0.01681
annual_vpd_kPa,0.00988
annual_eto_mm,0.00896
eff_factor,0.00869
annual_etr_mm,0.00783
HSG_5,0.00774
HSG_1,0.00737
HSG_3,0.0019
annual_daymet_precip_mm,0.0
