dri_field_,area_m2,annual_et_ensemble_mm,annual_et_ssebop_mm,annual_et_eemetric_mm,annual_et_sims_mm,annual_et_pt_jpl_mm,annual_et_geesebal_mm,annual_et_disalexi_mm,annual_gridmet_precip_mm,annual_gridmet_precip_eff_mm,annual_tmmx_K,annual_tmmn_K,annual_eto_mm,annual_etr_mm,annual_vpd_kPa,annual_vs_mps,annual_rmax,annual_rmin,annual_daymet_precip_mm,annual_daymet_precip_eff_mm,annual_ndvi,YEAR,eff_factor,HSG,soil_depth_mm,ksat_mean_micromps,elevation_m,annual_et_ensemble_m3,annual_et_ssebop_m3,annual_et_eemetric_m3,annual_et_pt_jpl_m3,annual_et_sims_m3,annual_et_geesebal_m3,annual_et_disalexi_m3,annual_gridmet_precip_eff_m3,count_et,pumping_m3,count_pump,year,dri_field_id,all_app,meter_change,pumping_mm,annual_net_et_ensemble_mm,pumping_net_et_ensemble_factor_annual,annual_net_et_ssebop_mm,pumping_net_et_ssebop_factor_annual,annual_net_et_eemetric_mm,pumping_net_et_eemetric_factor_annual,annual_net_et_pt_jpl_mm,pumping_net_et_pt_jpl_factor_annual,annual_net_et_sims_mm,pumping_net_et_sims_factor_annual,annual_net_et_geesebal_mm,pumping_net_et_geesebal_factor_annual,annual_net_et_disalexi_mm,pumping_net_et_disalexi_factor_annual
8132,888724.9486979557,1033.1850472059311,1099.8397075140042,936.1979908847809,1010.734420321669,1025.4695453100676,1050.6255396009417,1157.0129237171632,428.1999977827072,416.2908168835724,578.0999755859375,540.6666259765625,2541.40000218153,3492.6000059843063,731.6999989449978,6.145753383636475,175.8000030517578,44.36000061035156,0.0,539.8232998838978,1.2923881593313264,4036,1.9443756143820523,1,3145.2895116921404,231.55117519429837,3558.356689050834,459706.9214390203,488575.65909090603,417605.4774781914,455261.437132405,450594.2661135467,466618.02839252213,513835.858436547,184984.01743914146,2,454055.6816609512,3.0,2018,132_8,18242_72370,1,510.9068698095789,309.12027889209946,1.7,341.60359973752014,1.5,261.7474173307013,2.0,304.11818649767724,1.7,298.8666505464293,1.7,316.8967084428025,1.6,370.0265661262199,1.4
1023,996460.3133552922,1556.85653463634,1515.3928177158668,1538.4234921934499,1831.4514197453523,1537.5007250013512,1413.758467424449,1529.9995480246835,382.4196503384977,371.78372128934143,578.8706332249061,542.2134594453728,2554.833240463284,3523.254176299083,744.6765464236041,6.104409867660433,170.00246694296396,43.89057214731215,0.0,493.50906030865434,1.6156948356693552,4036,1.9443756143820523,1,3092.5973151558874,315.905941397594,3590.4486339824916,775668.4642304403,755037.6892856552,766451.4842951293,766026.128927629,912448.784620738,704397.0788198358,762309.8132545393,185224.53134309856,2,985967.8859903453,4.0,2018,23_10,18786_18787_86252_86253,1,989.47030079942,592.5413435676054,1.7,571.8372827352003,1.7,583.2916225182286,1.7,582.8647561776434,1.7,729.8075432918365,1.4,521.0167836274118,1.9,579.1352391830566,1.7
127,460230.1209712059,658.0234052452722,548.3655847483079,703.9028275939243,868.5545346926513,700.9656695584567,539.5070881259899,539.0070851811932,180.90000015497208,175.8687744715186,289.33331298828125,271.1000061035156,1280.0999996215105,1767.699999988079,370.6999991126359,3.081095933914185,85.625,22.185714721679688,0.0,245.51346448850623,0.7321458977786736,2018,0.9721878071910262,1,1555.4314722923004,157.36135255980346,1796.8117732301275,302842.1913979164,252374.3594051598,323957.28349552565,322605.51489755086,399734.9585716883,248297.41243304734,248067.29601727764,80940.10735008474,1,248979.4110640898,1.0,2018,127,18788_18789,0,540.9889525237464,482.1546307737534,1.1,372.49681027678935,1.5,528.0340531224056,1.0,525.096895086938,1.0,692.6857602211325,0.8,363.63831365447123,1.5,363.13831070967456,1.5
47,496100.9481887039,574.1982962586537,553.1892912370427,576.968340354846,686.5391676866582,555.5172914993251,526.8017911687404,528.1342229070701,180.90000015497208,175.8687744715186,289.33331298828125,271.1000061035156,1280.0999996215105,1767.699999988079,370.6999991126359,3.081095933914185,85.625,22.185714721679688,0.0,244.2168457467666,0.7646625983685025,2018,0.9721878071910262,1,1598.2419448144444,145.82899545724646,1799.11792055947,284860.3192222564,274437.73191053397,286234.5407249019,275592.6550480358,340592.73205803474,261346.86810631966,262007.8887551018,87248.66577210571,1,133525.28072934237,1.0,2018,47,18794_31111,1,269.1494164985003,398.3295217871351,0.7,377.3205167655241,0.7,401.0995658833273,0.7,379.64851702780646,0.7,510.67039321513965,0.5,350.9330166972217,0.8,352.26544843555155,0.8
30149,974741.6237351613,1126.6336843130505,1088.9666417588278,1144.2502196049622,1209.2879971925686,1126.437539087579,1100.6872829183826,1127.9977722431545,429.8669627810666,417.91141992999,578.7107895648154,542.7014562675081,2526.563743984876,3463.2998539645214,739.8310248073566,5.981312620883355,166.16315470577655,44.54304070772962,0.0,499.53235213227606,1.1388158113336484,4036,1.9443756143820523,3,3041.0272150239557,111.23734447101704,3604.300294713079,540874.4427009367,522796.67305299407,548296.425976124,542869.8051726326,579731.3302546791,529342.7371040996,542258.0788742733,203675.30963631763,2,420267.14641258924,2.0,2018,149_30,18834_19052,0,431.1574843825244,345.9369384191154,1.2,327.3907214445396,1.3,353.55124675935707,1.2,347.98400650681,1.2,385.80072037688666,1.1,334.10641295879066,1.3,347.35642860979243,1.2
122173,981944.019085176,1468.1885657278601,1397.101375080717,1465.2578982951522,1666.6268542302964,1402.858631742766,1462.407211029166,1444.1507357672904,433.5999974012376,421.54063067154374,579.699951171875,543.1199951171874,2660.399994969368,3693.19999730587,801.1800025179982,6.225753307342529,154.5,40.28000259399414,0.0,477.7878468881296,1.470723941807352,4036,1.9443756143820523,5,3039.6904106144257,188.01953642577035,3631.2480146018065,720791.4014566402,685737.3513664072,719603.3840346546,688585.1561040338,818357.2636169929,717893.9526064467,708860.4583550675,206964.65054465775,2,713813.2796410904,2.0,2018,173_122,18975_34950,0,726.9388740776807,523.2749942208386,1.4,487.57637046131816,1.5,522.0651315414035,1.4,490.4765406159057,1.5,622.6348968874381,1.2,520.3242670980308,1.4,511.1246650068696,1.4
35229,954900.5352446184,1625.6836331325453,1670.0335723960807,1609.2405150251457,1758.55252310671,1545.155932235526,1558.6373269750593,1655.6094926953047,353.2000024318695,343.3767358641043,579.239990234375,541.6499633789062,2588.0000012815,3575.799999028444,739.9999976232648,6.323287487030028,175.1999969482422,44.43999862670898,0.0,491.17681122195427,1.6751056465470957,4036,1.9443756143820523,1,3050.5513832583847,315.0399772963557,3580.2521347873,776644.8716150465,797599.6464546736,769044.6828185564,738141.8481779371,840173.6102876645,744520.3350163312,790903.6302458902,163945.3144335916,2,451904.4353488684,2.0,2018,35_229,18978_42019_42020,0,473.24765111070263,641.6370444535343,0.7,663.5815026103821,0.7,633.6779026204604,0.7,601.3155428771989,0.8,708.1662130190789,0.7,607.9952823924355,0.8,656.5692369747072,0.7
46229,971151.3766229099,1792.526005074954,1850.1357232787313,1877.621860440184,1643.3763532231305,1667.847035626011,1756.8366590852158,1824.4533424945919,352.1118275169324,342.3188254797079,579.2123639660016,541.6542804775131,2587.6890933146897,3576.732721809265,741.0726269537745,6.311362342223597,174.6559120620195,44.21199987984602,0.0,491.12007378157557,1.681596703708979,4036,1.9443756143820523,1,3087.4224937782824,315.12439424591497,3582.2384315314894,870640.8577008483,898799.6917409657,912123.3615675378,809994.4063960453,797257.9230239231,853484.5202975861,886169.4046824642,166218.31986896897,2,283700.4,1.0,2018,46_229,18981_39553,1,292.12788740159357,725.3478240245554,0.4,754.3431328074531,0.4,768.0625900901107,0.4,662.8998341800727,0.4,649.7850060711817,0.4,707.6818475184812,0.4,741.3376556361987,0.4
44137,1004986.2021841861,1717.0929228289433,1675.263438989482,1716.395390735917,1983.3186951170628,1607.827950811337,1720.873780519646,1602.2440530929239,429.5130921223184,417.5673911902346,579.689310787128,543.1370275279362,2668.9143834031015,3708.142745277477,804.0280641598938,6.249197028978614,154.52128726545533,40.277163858869315,0.0,471.1111923469341,1.5565568172646018,4036,1.9443756143820523,1,3023.7833798485717,205.8990390933106,3627.2984718062435,862570.0805579999,841378.2799133748,862518.9453525583,807975.9925112491,996860.654431488,863904.1908593525,804405.8396935473,209847.04815281118,2,408823.8636369015,1.0,2018,44_137,18988_80780,0,406.79549903111547,649.4845710185808,0.6,628.3979127156429,0.6,649.4336895185857,0.6,595.1613495374314,0.7,783.1088671349132,0.5,650.8120621806017,0.6,591.6089099019988,0.7
1,481071.53314006777,801.0644135099162,865.5090867044197,766.7774011235703,887.4,614.310188841008,885.6421327527471,823.3729440696703,216.7999987006188,210.77031533577187,289.8499755859375,271.5599975585937,1330.199997484684,1846.599998652935,400.5900012589991,3.1128766536712646,77.25,20.14000129699707,0.0,237.027358999376,0.7299192501887398,2018,0.9721878071910262,5,1519.8769918083403,126.04242998504472,1811.0112860196605,385369.28555116465,416371.78328755504,368874.77993567265,295527.14436930825,426902.8785084961,426057.21861680347,396101.2845496476,101395.59873899531,1,442661.6091651442,1.0,2018,1,18989_80781,0,920.1575621733157,590.2940981741443,1.6,654.7387713686478,1.4,556.0070857877984,1.7,403.5398735052361,2.3,676.629684664228,1.4,674.8718174169752,1.4,612.6026287338984,1.5
48,502448.0874323465,228.569637800372,156.36853205318366,211.99392108740784,360.9042713364452,274.9150408587069,229.93605005528732,237.7977022034032,180.90000015497208,175.8687744715186,289.33331298828125,271.1000061035156,1280.0999996215105,1767.699999988079,370.6999991126359,3.081095933914185,85.625,22.185714721679688,0.0,245.5102127082066,0.2146098481165736,2018,0.9721878071910262,1,1584.7917541921163,141.72272482699566,1796.0184191075318,114844.37735790109,78567.0698647257,106515.94019765184,138130.53648584266,181335.66087916153,115530.92858202741,119481.00066790661,88364.9293722852,1,47219.156250062166,1.0,2018,48,18999_42021,0,93.97817890275107,52.70086332885342,1.8,-19.500242418334945,-4.8,36.12514661588922,2.6,99.04626638718828,0.9,185.0354968649266,0.5,54.06727558376874,1.7,61.928927731884585,1.5
3769223,1564039.7858082457,2218.6754921843753,2281.594512038824,2099.4677949276975,2558.6775233499043,2135.939472370493,2058.6996130746434,2289.314790232713,623.6807714922331,606.3348416242397,868.154511338963,812.8481635549397,3808.4449873567373,5231.762733699319,1107.2086029680895,9.072628478418517,257.418878692588,67.36149140951115,0.0,755.017736304397,2.437515685265433,6054,2.9165634215730787,1,4600.568899896557,446.6896956133733,5370.847662080062,1157116.5361299077,1189737.2865240767,1094893.4088234422,1113953.2351480909,1334320.5716494815,1073624.081509496,1193959.1091621171,316076.92701302393,3,1156152.7615584726,5.0,2018,223_37_69,19014_83615_83616_83617,1,739.2093040401846,537.7354315077486,1.4,558.592158229257,1.3,497.95183529039883,1.5,510.13811501140935,1.4,651.0343623453683,1.1,484.3528670883497,1.5,561.2914646512216,1.3
14152021,1998714.4685218863,2930.4015288960522,2848.699664794726,2703.166454353254,3371.5158664699266,2901.9352521891856,2885.332527811846,2977.6179129284633,894.4859909959278,869.6083741494231,1156.2724238604549,1081.8408905109795,5074.489701293545,6965.226637782223,1462.9789215467454,12.196733423856541,350.1625584947254,88.48932528103668,0.0,1121.4443127916072,3.1459684878478393,8072,3.8887512287641046,1,6247.551698288987,613.2183011707928,7102.81077525607,1464119.039805859,1423393.7832845058,1350222.5286764968,1450057.4719218274,1684450.2381926435,1441704.5224242145,1487946.4895603012,434422.246345108,4,2124721.971225438,5.0,2018,14_20_15_21,19145_29873_30102_36070_50650_81268,1,1063.0442740511799,515.1795364858918,2.1,494.80381140722625,2.1,458.1946529904557,2.3,508.14423049021815,2.1,625.4159918960169,1.7,503.96506951992205,2.1,527.1009240225835,2.0
6167,923158.9681518418,1479.0762960706825,1446.515910945609,1614.2309057097245,1670.5440889030494,1412.5842962934998,1464.8992201264343,1283.1182199582286,414.39999854564667,402.8746258860568,579.6499633789062,543.2000122070312,2700.400004029274,3763.399995684624,814.5599994920194,6.335890293121338,154.60000610351562,40.26666641235352,0.0,467.2779417075841,1.3318036764428007,4036,1.9443756143820523,1,3128.678136805911,288.03051596772065,3623.746531863908,681711.5623248665,666641.4477444593,744178.7236450964,651135.9096910532,769642.3513823609,675524.3474008193,591415.2139333857,185958.6619637657,2,512403.93197668355,2.0,2018,67_61,19191_24214,0,555.0549251582454,537.0179107435796,1.0,520.6934042389441,1.1,604.6846544738482,0.9,503.897230894663,1.1,632.267799539581,0.9,530.3156902837231,1.0,439.2055604262192,1.3
5657,964236.8648114968,1658.8764139266175,1734.1234945229562,1599.6126672797536,1865.3444463322053,1603.1490369060398,1643.933986003747,1565.0569174709917,466.97045001866115,453.9829778266411,578.2507865616701,545.6985465950145,2667.618422567298,3689.2416834236947,788.7744938757764,6.447608609818341,147.40403918346232,43.39824107890078,0.0,467.4970800741239,1.7062220622846604,4036,1.9443756143820523,1,3207.260911378328,288.5048688830865,3625.166112906257,799696.3577631443,835959.2388975755,771102.8626275754,772779.0613850318,899174.9099186826,792566.6424163452,754415.5097204311,218873.53483636957,2,1060269.5487177246,1.0,2018,57_56,19192_29765,1,1099.594495305883,602.3652943826437,1.8,639.9731503543405,1.7,572.7112786744196,1.9,574.4496469308376,1.9,705.5334637255426,1.6,594.9711409261764,1.8,555.404998945728,2.0
