dri_field_,area_m2,annual_et_ensemble_mm,annual_et_ssebop_mm,annual_et_eemetric_mm,annual_et_sims_mm,annual_et_pt_jpl_mm,annual_et_geesebal_mm,annual_et_disalexi_mm,annual_gridmet_precip_mm,annual_gridmet_precip_eff_mm,annual_tmmx_K,annual_tmmn_K,annual_eto_mm,annual_etr_mm,annual_vpd_kPa,annual_vs_mps,annual_rmax,annual_rmin,annual_daymet_precip_mm,annual_daymet_precip_eff_mm,annual_ndvi,YEAR,eff_factor,HSG,soil_depth_mm,ksat_mean_micromps,elevation_m
0,309639.1321896609,715.3300609846798,689.6644442694524,699.1339388053302,901.0266204615262,731.6007122170595,652.356948491132,692.4338661836886,203.49999821186063,197.84021702496656,289.3499755859375,270.875,1270.3999999314549,1745.600003302097,368.5699987057597,3.0358903408050537,86.4000015258789,22.67142868041992,,252.5841149998751,0.838974862615423,2018,0.9721878071910262,1.0,1560.1127221819536,156.94284262795043,1788.9209715805682
1,481071.53314006777,801.0644135099162,865.5090867044197,766.7774011235703,887.4,614.310188841008,885.6421327527471,823.3729440696703,216.79999870061877,210.77031533577187,289.8499755859375,271.5599975585937,1330.199997484684,1846.599998652935,400.5900012589991,3.1128766536712646,77.25,20.14000129699707,,237.027358999376,0.7299192501887398,2018,0.9721878071910262,5.0,1519.8769918083403,126.04242998504472,1811.0112860196605
2,501239.4812881077,672.3449267513334,704.6960491754445,675.4798830187658,731.054917082787,660.0488125863138,705.4165073519451,634.2958271277311,246.599998742342,239.7415120306273,289.8999938964844,271.8499755859375,1358.8000002503395,1893.8999984264372,411.6999997217208,3.180821895599365,75.13333129882812,19.5,,230.99448829480048,0.7530149899347464,2018,0.9721878071910262,3.0,1518.660753359785,67.81879099683583,1820.818125690518
3,462084.5578080055,719.1113868647402,711.8091726217717,694.3717158916228,919.4908943509728,753.3954483049953,654.2067330822215,672.9792891423474,202.79999968409535,197.1596869912215,289.54998779296875,271.1142883300781,1274.3999991565945,1754.7999976873398,374.1800001747906,3.019726037979126,84.30000305175781,21.674999237060547,,247.898169935522,0.835622241561463,2018,0.9721878071910262,1.0,1528.7095503018927,60.26242455624827,1805.350268665823
4,524721.6388003868,766.692510785605,750.2773463535608,754.9544498695387,948.0947420096628,765.206944121522,714.514071662921,721.1896768193442,214.48963068255827,208.5242037184881,289.36251312218803,271.342079010873,1263.6885803662224,1732.4967717314214,370.0715101594879,2.9917197001150035,83.12614816299391,22.2496992207044,,250.45372252359903,0.8472776902806289,2018,0.9721878071910262,3.0,1521.7953168196927,40.28211634598211,1811.20486950592
5,503693.8472206704,831.612323263831,832.3041125948548,873.2472719841242,934.5160849543812,820.3549136554068,817.7929074276254,780.8774342398933,174.59999930858612,169.74399046336902,289.6000061035156,270.84283447265625,1307.399999216199,1810.6000060141089,374.44999932684,3.2010958194732666,85.36666870117188,22.13333320617676,,242.07538972389335,0.8047047231949559,2018,0.9721878071910262,1.0,1519.1402210979163,113.259656448032,1797.3839449516609
6,485005.5213104429,903.265536912564,849.5541997016383,953.1054772400928,1042.239724879313,844.3628175687377,815.4796649848862,821.6105365493889,174.50000044703484,169.6467727894359,289.5666809082031,270.83331298828125,1293.3999987840652,1789.7000029236078,372.0699991285801,3.138630151748657,86.55000305175781,21.779998779296875,,243.37103720832852,0.8561899892515956,2018,0.9721878071910262,1.0,1520.0,92.52002580031886,1795.5436785784125
8,375378.210256719,512.2563361397847,551.0203563808316,456.54402860273376,494.7719083991528,515.7698662130214,527.0561818810911,580.6610633758147,214.0999988913536,208.1454084417862,289.04998779296875,270.33331298828125,1270.700001090765,1746.3000029921532,365.8499994724989,3.0728766918182373,87.9000015258789,22.18000030517578,,271.670797959506,0.5972698381884172,2018,0.9721878071910262,1.0,1564.1886979785136,119.45330286657672,1778.8575824397558
9,517699.1326890696,891.9500340688713,866.497169662981,914.1181613292104,1043.7445385200135,842.3474500759997,821.4286073693594,868.2640861680378,194.1000008881092,188.70165423918712,289.6333312988281,271.1111145019531,1303.399998769164,1805.8999992012975,384.36999894306064,3.096164464950561,81.58000183105469,21.13333320617676,,239.0741098234,0.6893917711064358,2018,0.9721878071910262,1.0,1594.007737783784,114.1396141551198,1804.7811200821004
10,497764.712954667,783.1666984353471,732.6791127279863,809.4886422429053,953.9077550174076,772.0785648543998,685.4200436773974,745.7721804388439,201.5196501835256,195.91494681782285,289.53732023662485,271.1134533418572,1274.733240841773,1755.554176311004,373.9765473109683,3.023313933746248,84.37746694296398,21.70485742563246,,247.07266909783397,0.8173526258427442,2018,0.9721878071910262,1.0,1533.178184778211,158.80403930942057,1795.0412165105636
