,OPENET_ID,field_id,area_m2,annual_et_mm,annual_precip_mm,wy_et_mm,wy_precip_mm,irrigated,YEAR,NDVI
0,NV_235,0,309639.1321896407,715.3300609846798,203.49999821186063,687.2786921104904,164.19999927282333,0.0165104863900044,2018,0.3016
1,NV_238,1,481071.53314021183,801.0644135099162,216.79999870061877,816.6642431694606,173.9999986886978,0.0,2018,0.4138
2,NV_239,2,501239.481288169,672.3449267513334,246.599998742342,674.0810690785016,197.6999989449978,0.9726772996831756,2018,0.5139
3,NV_240,3,462084.5578080055,719.1113868647402,202.79999968409535,698.1720937327651,162.69999918341637,0.2433203083746964,2018,0.7593
4,NV_241,4,524721.6388002747,766.692510785605,214.48963068255827,763.4017515306513,172.8244914477252,0.9482135937378904,2018,0.4968
5,NV_300,5,503693.84722064686,831.612323263831,174.59999930858612,822.0739965903163,140.49999901652336,0.9905346319531464,2018,0.4091
6,NV_301,6,242033.0793547041,819.1714080910352,174.59999930858612,821.6643071546976,140.49999901652336,0.9180704269521972,2018,0.3781
7,NV_340,7,299381.7833410217,155.61950305838064,194.1000008881092,141.6854030185675,153.59999999403954,0.0,2018,0.1979
8,NV_984,8,485005.52131050505,903.265536912564,174.50000044703484,935.0554819893056,139.19999966025352,0.9847298814931528,2018,0.2498
9,NV_985,9,328403.81870248605,186.0885415804373,246.599998742342,191.8802751610073,197.6999989449978,0.3915663647952847,2018,0.283
10,NV_1051,10,375378.2102567985,512.2563361397847,214.0999988913536,486.74653278357687,173.99999910593033,0.8630773888472406,2018,0.2655
11,NV_1053,11,517699.1326891153,891.9500340688713,194.1000008881092,921.1395932700872,153.59999999403954,0.9799360553488128,2018,0.3057
12,NV_1054,12,497764.71295456256,783.1666984353471,201.5196501835256,794.4844487770873,161.61842544735026,0.9892168021827809,2018,0.3487
13,NV_1068,13,144317.47664838878,174.81213266948672,299.70000022649765,175.47851233481822,252.2000008523464,0.0,2018,0.2364
14,NV_1199,14,168098.50588965177,147.22083159281513,212.30000045895576,152.18501976157577,173.1999998986721,0.0,2018,0.2553
15,NV_4753,15,522493.5234816583,784.2038485258374,215.58473353293772,764.148235099012,173.57446769326998,0.9824986914182956,2018,0.2505
16,NV_4755,16,188263.57793125167,151.68538001609755,214.0999988913536,150.7254944233644,173.99999910593033,0.0,2018,0.5215
17,NV_4756,17,89566.71518941942,198.55695360232292,207.24061974253536,189.9504869638861,166.42397872697356,0.0,2018,0.2749
18,NV_4757,18,177834.59010144955,171.64773177949297,214.0999988913536,173.79079593642274,173.99999910593033,0.0,2018,0.228
19,NV_4758,19,146347.57458479042,177.13691949606525,214.0999988913536,176.52818930801348,173.99999910593033,0.0,2018,0.2479
20,NV_4760,20,27860.496103187965,292.19404437524315,182.0999990105629,280.3566562864927,146.99999955296516,0.0999416115219929,2018,0.1802
21,NV_4761,21,374400.9049502065,178.23073576752398,210.69999861717224,170.55869899364868,169.79999941587448,0.0,2018,0.3653
22,NV_4766,22,494108.2402537869,874.5376342316844,174.5130346202753,886.2908837627651,139.3694457575317,0.9792249388484868,2018,0.3607
23,NV_4782,23,505755.67202775634,710.5977946995788,214.2795298058184,720.0907734593917,174.1679473785529,0.9897809672520372,2018,0.4028
24,NV_4783,24,495243.7763903519,733.2401844042911,232.699998408556,737.1650516725298,191.39999842643735,0.9909545762415608,2018,0.3537
25,NV_4784,25,532670.3377676448,798.2099981708806,231.299999922514,805.9306103162347,188.8999999761581,0.8567545321518575,2018,0.3084
26,NV_4785,26,488970.92554301786,831.0525913959456,224.89991894385332,830.6902938833314,184.10314999048956,0.9939862352837036,2018,0.1997
27,NV_4786,27,522551.72969421,840.6734524734521,231.299999922514,835.4699766899769,188.8999999761581,0.7992955192955197,2018,0.6856
28,NV_4787,28,511605.6456590771,718.6744904654068,225.05110339238396,733.5722766619402,184.2445806017792,0.996232724502106,2018,0.2134
29,NV_4788,29,499296.6337903984,759.3885076025548,214.4790086727072,790.0319431880355,174.46382052952077,0.9914251201187376,2018,0.228
30,NV_4789,30,498418.38631354977,727.1750421896276,233.02745410884611,733.7377297367688,191.99312553362304,0.9924628432824888,2018,0.5306
31,NV_4790,31,496116.7602495948,886.748779422205,201.7799292565716,879.5284528425534,161.83829588845157,0.97052045218721,2018,0.4058
32,NV_4791,32,498695.60040066857,773.6898362009929,180.90000015497208,785.6784887449322,144.20000031590462,0.9814897340304116,2018,0.2813
33,NV_4792,33,498886.8414981847,928.9755202224248,182.0999990105629,920.436384074026,146.99999955296516,0.97908249706764,2018,0.85
34,NV_4793,34,510719.0119633483,809.0378318713214,180.90000015497208,783.3486804748485,144.20000031590462,0.9794416230185896,2018,0.3589
35,NV_4794,35,507704.22877437953,658.4707295074531,202.79999968409535,630.3343384585829,162.69999918341637,0.9795488143969516,2018,0.3481
36,NV_4795,36,488843.7500595533,729.6176390698186,214.33206947014125,729.1483688572297,172.6880262952766,0.9807311732586824,2018,0.4774
37,NV_4796,37,521585.149617041,562.449107801669,201.5103252057297,604.4248984130611,161.610548183315,0.9798281076249964,2018,0.3084
38,NV_4797,38,512987.0208427857,720.8432916261571,214.55299684701103,699.2528479942506,172.87937344031377,0.9576235363740117,2018,0.3275
